id;signature;num_occurences
115;010111101100000101011000;3
116;010111110010101100111000;4
117;010111111010001000000001;2
118;011000110110011101000000;1
119;011000111010101110100010;2
120;011000111110100101011111;2
121;011000111111110011011111;1
122;011001001000001100110101;4
123;011001011001011101011001;1
124;011001011111011111000010;5
125;011001100010100011010001;1
126;011001100011111011000000;1
127;011001110101111111000101;1
128;011001110110110001010110;1
129;011001111001110100100000;2
130;011010001100100011111011;3
131;011010010001100111010010;1
132;011010011101111011000010;2
133;011010011111100000110100;1
134;011010100111011100110010;1
135;011010101100010010010111;1
136;011010101101101000011010;1
137;011010111110101010001000;6
138;011011000101000101100100;2
139;011011001010100000110001;2
140;011011001101001011110011;1
141;011011001101011101111111;1
142;011011010001111000101011;1
143;011011101011101111011010;2
144;011011110010111111101100;1
145;011100001010100001110010;8
146;011100011110000010011110;1
147;011100011110011101000011;2
148;011100100111100110101011;1
149;011100110100110101001010;2
150;011100110101010110110000;1
151;011101001100011101010100;4
152;011101010000011001001001;1
153;011101010100111110001010;1
154;011101010111000000111001;1
155;011101100010011010110011;3
156;011101100100011000010011;2
157;011110001100000111000110;19
158;011110010000110101011000;1
159;011110011010110001010111;2
160;011110101111010111001111;1
161;011110110100011111010011;1
162;011111001101000001000001;2
163;011111010010000100011110;4
164;011111011100101111001000;11
165;011111101110000010001111;2
166;011111111010011001001100;1
167;011111111110011101010010;1
168;100000000010110110110100;1
169;100000100111111101101011;1
170;100000101011010110110111;1
171;100000111100011001000101;1
172;100001000011000101101000;4
173;100001000101010011110001;3
174;100001001000100111010100;3
175;100001001101101010000110;1
176;100001011001111111011110;2
177;100001100101010000110101;1
178;100001101111111000100101;1
179;100010000010000101111011;1
180;100010011111111111101101;7
181;100010100011011110011010;1
182;100010101001111000001011;1
183;100010110011101100011001;6
184;100011010110000000010001;3
185;100011100001001010110001;3
186;100011100110001111010101;5
187;100011101110100000010000;1
188;100100000101101010111011;1
189;100100000101101101001111;4
190;100100001111101000010010;1
191;100100010011110010111010;1
192;100100011101110001100101;1
193;100100101101111110111010;6
194;100101001111111010101001;1
195;100101010001101101000000;1
196;100101011011110011011000;6
197;100101100111010001000010;2
198;100101101000010111111000;1
199;100101101011000001100101;3
200;100101101111101110010110;1
201;100101110010000111011001;1
202;100101110101011011011010;6
203;100101110111110101001110;4
204;100101111000110011101001;1
205;100110001010011110111000;4
206;100110001110100000010001;1
207;100110010101001010010000;4
208;100110101010101100101101;6
209;100110101100010011100010;2
210;100111000111011011011001;8
211;100111001100100010110001;1
212;100111011010111011101101;2
213;100111011111111100111000;1
214;100111101111111111110010;2
215;100111110110100010010100;3
216;101000001111101000001110;3
217;101000001111111110011010;5
218;101000011111001011011010;7
219;101000011111111111011101;1
220;101000101101101001110111;3
221;101000110011100001110001;1
222;101000110100010111110101;2
223;101000111001010000011011;1
224;101000111111001011010000;2
225;101001000001000111010110;1
226;101001010000000110111001;6
227;101001011001101111011111;4
228;101001110111011110100101;5
229;101010000011111000010101;2
230;101010011010100100001011;5
231;101010011100000110111010;1
232;101010100111111001110011;4
233;101011001001010011000111;4
234;101011010000111111010100;1
235;101011010110100110010010;2
236;101100000001111101011101;1
237;101100001110101001101011;2
238;101100011011111100111000;2
239;101100101101111001110111;1
240;101100110010010011000000;1
241;101100110010110000111111;1
242;101100110111001000001101;2
243;101100111000011010011110;4
244;101101000011001101000001;2
245;101101001000101000100001;2
246;101101001001100110110100;1
247;101101010100010010110000;1
248;101101100001010000110010;1
249;101101100100101110111001;2
250;101101101100001001001110;11
251;101101101100010110110110;1
252;101110110111111011101001;3
253;101110111010111001001110;1
254;101111000010000011100000;1
255;101111011101100001011110;1
256;101111101011100101100000;1
257;101111101101111001110111;1
258;101111110101000011000011;1
259;110000011111100000111011;1
260;110000100011100001000001;1
261;110000100100001101101100;1
262;110000100100011011001011;3
263;110000100101010011001101;1
264;110000100110100011010100;1
265;110000111010000110111011;3
266;110001011100001000001101;4
267;110001011110111011001011;1
268;110001100011011010110001;3
269;110001110011001101111100;1
270;110001110100101111001010;1
271;110010010011011111101001;1
272;110010010101011011011001;1
273;110010011110010011011010;1
274;110010011111000101101100;7
275;110010100011010111101100;1
276;110010100100000100101010;4
277;110010101011110010000110;3
278;110010101110110010011000;5
279;110010110011001100101111;1
280;110010111101011100010110;7
281;110010111111010111101011;1
282;110011000011101011010001;1
283;110011000011101011100100;4
284;110011000100010101100100;1
285;110011001010100001110001;1
286;110011001010101110010101;1
287;110011100000100110100100;3
288;110100010001100111110101;3
289;110100010010011010111100;6
290;110100110101010010001101;3
291;110100111110011101000101;1
292;110101000010000110000110;6
293;110101001100111110001100;3
294;110101001100111110010100;2
295;110101010011110110011111;5
296;110101010111001011100011;3
297;110101010111100110011100;1
298;110101011011101101111100;4
299;110101101100100001110001;6
300;110101111011101100010100;2
301;110110000010010010101001;1
302;110110001110111001111011;6
303;110110001111101011000111;1
304;110110010001100011111000;1
305;110110011101001011100101;6
306;110110011101100001000001;1
307;110110101100100100000001;1
308;110110110011101110101111;5
309;110111001011111001011100;1
310;110111101101110100000010;1
311;111000110111101001110000;3
312;111000111011100000000001;1
313;111000111100010010110010;1
314;111001010000011001001100;1
315;111001101111110011001111;3
316;111001110110110100011001;5
317;111001111001101001000001;1
318;111001111111011000101010;8
319;111010010001000001101110;1
320;111010011001010111000100;6
321;111010100000101010100010;15
322;111010101010100010100110;1
323;111010101011001011000001;2
324;111010101110000100010010;3
325;111010111101111100001100;1
326;111010111110100111001100;2
327;111011000010011101110110;1
328;111011001111110011000001;2
329;111011100001000100101101;3
330;111100000011001010001010;3
331;111100011000001001111011;1
332;111100011001001011110010;1
333;111100100011111110010110;1
334;111100101100110011001011;1
335;111100111010110101110111;1
336;111100111010110110100000;1
337;111101010101001001110001;1
338;111101011101001100111101;2
339;111101101000110110011000;2
340;111101101001010110111111;1
341;111101101001111100010011;2
342;111101111101100101100010;1
343;111110010011101111100001;8
344;111110011001110010101010;3
345;111110100010011111111001;1
346;111110101001111001111110;2
347;111110101011011010010000;2
348;111111000001001100001101;3
349;111111000011011101010000;3
350;111111010110011100011111;2
351;111111011001110100001111;4
352;111111011111001100000110;1
353;111111100111011101101000;5
